brand,years,usingyears,tag_price,cc,gasoline,max_,compression,doors,source,mileage,type_number,certificate,residual_value
TOYOTA,2016,2,81.3,2000,¨Tªo,146,10,5,8891,16000,3,0,90.77490775
HONDA,2016,2,65.9,1500,¨Tªo,120,10.3,5,SUM,20031,3,0,90.74355083
MAZDA,2016,2,119.9,2200,®ãªo,175,14,5,abc,25000,2,0,90.74228524
NISSAN,2014,4,52.9,1600,¨Tªo,109,9.8,4,UCar,69696,2,0,90.73724008
NISSAN,2014,4,52.9,1600,¨Tªo,109,9.8,4,abc,43336,2,0,90.73724008
NISSAN,2013,5,52.9,1600,¨Tªo,109,9.8,4,UCar,45386,2,0,90.73724008
LEXUS,2016,2,183,2000,¨Tªo,245,10,4,8891,10000,5,0,90.71038251
HONDA,2015,3,73.9,1800,¨Tªo,141,10.6,4,UCar,12795,2,0,90.66305819
MAZDA,2015,3,75.9,2000,¨Tªo,165,14,4,8891,35000,4,0,90.6455863
MAZDA,2015,3,75.9,2000,¨Tªo,165,14,4,8891,32000,4,0,90.6455863
MAZDA,2015,3,75.9,2000,¨Tªo,165,14,4,8891,30000,4,0,90.6455863
FORD,2016,2,75.9,1500,¨Tªo,180,10,5,8891,10000,2,0,90.6455863
MAZDA,2016,2,75.9,2000,¨Tªo,165,14,4,8891,10000,3,0,90.6455863
MAZDA,2015,3,75.9,2000,¨Tªo,165,14,4,8891,8500,4,0,90.6455863
MAZDA,2015,3,80.9,2000,¨Tªo,165,14,5,8891,50000,2,0,90.60568603
TOYOTA,2015,3,93.9,2500,¨Tªo,181,10.4,4,abc,14600,2,0,90.52183174
FORD,2014,4,60.8,1500,¨Tªo,112,11,5,8891,25000,4,0,90.46052632
NISSAN,2014,4,84.9,1600,¨Tªo,117,10.7,5,abc,73277,2,0,90.45936396
MAZDA,2016,2,84.9,2000,¨Tªo,147,10,5,8891,17000,3,0,90.45936396
MAZDA,2016,2,84.9,2000,¨Tªo,147,10,5,Yahoo,17000,3,0,90.45936396
